S_ID,metric,nvols,outliers
TIDES_P2T_S1,DVARS,767,8
TIDES_P2T_S2,DVARS,623,59
TIDES_P2T_S3,DVARS,727,11
TIDES_P2T_S4,DVARS,966,199
TIDES_P2T_S5,DVARS,773,0
TIDES_P2T_S6,DVARS,758,7
TIDES_P2T_S7,DVARS,794,21
TIDES_P2T_S8,DVARS,828,5
TIDES_P2T_S9,DVARS,772,1
TIDES_P2T_S11,DVARS,695,0
TIDES_P2T_S12,DVARS,1162,0
TIDES_P2T_S13,DVARS,935,0
TIDES_P2T_S14,DVARS,904,10
TIDES_P2T_S15,DVARS,869,2
TIDES_P2T_S16,DVARS,770,0
TIDES_P2T_S18,DVARS,740,14
TIDES_P2T_S19,DVARS,966,0
TIDES_P2T_S20,DVARS,761,0
TIDES_P2T_S21,DVARS,803,0
TIDES_P2T_S22,DVARS,592,0